"pool_id","study3_id","theory","technology","phase","criterion","statistic","threshold","flagged","action_taken"
"relativist01","relativist01","relativist","NPP","structural","residual_correlation",0.331735357686514,0.1,TRUE,"flagged"
"relativist01","relativist01","relativist","NPP","structural","residual_correlation",-0.271414306664815,0.1,TRUE,"flagged"
"relativist01","relativist01","relativist","HM","structural","residual_correlation",-0.241816193818842,0.1,TRUE,"flagged"
"relativist01","relativist01","relativist","SAI","structural","residual_correlation",0.204381710590893,0.1,TRUE,"flagged"
"relativist01","relativist01","relativist","SAI","structural","residual_correlation",-0.217835835897487,0.1,TRUE,"flagged"
"relativist02","relativist02","relativist","NPP","structural","residual_correlation",0.207567047571815,0.1,TRUE,"flagged"
"relativist02","relativist02","relativist","SAI","structural","residual_correlation",-0.14257022179431,0.1,TRUE,"flagged"
"relativist03","relativist03","relativist","NPP","structural","residual_correlation",0.331735357686514,0.1,TRUE,"flagged"
"relativist03","relativist03","relativist","NPP","structural","residual_correlation",-0.195970177287924,0.1,TRUE,"flagged"
"relativist03","relativist03","relativist","HM","structural","residual_correlation",0.289176843342505,0.1,TRUE,"flagged"
"relativist03","relativist03","relativist","SAI","structural","residual_correlation",0.204381710590893,0.1,TRUE,"flagged"
"relativist03","relativist03","relativist","SAI","structural","residual_correlation",-0.14257022179431,0.1,TRUE,"flagged"
"relativist04","relativist04","relativist","NPP","structural","residual_correlation",-0.271414306664815,0.1,TRUE,"flagged"
"relativist04","relativist04","relativist","NPP","structural","residual_correlation",0.207567047571815,0.1,TRUE,"flagged"
"relativist04","relativist04","relativist","HM","structural","residual_correlation",0.289176843342505,0.1,TRUE,"flagged"
"relativist04","relativist04","relativist","HM","structural","residual_correlation",-0.241816193818842,0.1,TRUE,"flagged"
"relativist04","relativist04","relativist","SAI","structural","residual_correlation",-0.217835835897487,0.1,TRUE,"flagged"
"relativist05","relativist05","relativist","NPP","structural","residual_correlation",-0.195970177287924,0.1,TRUE,"flagged"
"contractualist02","contractualist02","contractualist","NPP","structural","residual_correlation",0.177956038259317,0.1,TRUE,"flagged"
"contractualist02","contractualist02","contractualist","HM","structural","residual_correlation",0.240408164075729,0.1,TRUE,"flagged"
"contractualist02","contractualist02","contractualist","HM","structural","residual_correlation",-0.265396903818167,0.1,TRUE,"flagged"
"contractualist02","contractualist02","contractualist","HM","structural","residual_correlation",-0.181124105204203,0.1,TRUE,"flagged"
"contractualist03","contractualist03","contractualist","SAI_narrative","substantive","comprehension_confusion",NA,NA,TRUE,"revised"
"contractualist03","contractualist03","contractualist","HM","structural","residual_correlation",0.527892739262286,0.1,TRUE,"flagged"
"contractualist03","contractualist03","contractualist","HM","structural","residual_correlation",-0.181124105204203,0.1,TRUE,"flagged"
"contractualist04","contractualist04","contractualist","SAI_narrative","substantive","comprehension_confusion",NA,NA,TRUE,"revised"
"contractualist04","contractualist04","contractualist","HM","structural","residual_correlation",0.527892739262286,0.1,TRUE,"flagged"
"contractualist04","contractualist04","contractualist","HM","structural","residual_correlation",-0.265396903818167,0.1,TRUE,"flagged"
"contractualist05","contractualist05","contractualist","NPP","structural","residual_correlation",0.177956038259317,0.1,TRUE,"flagged"
"contractualist06","contractualist06","contractualist","HM","structural","residual_correlation",0.240408164075729,0.1,TRUE,"flagged"
"hedonism01","hedonism01","hedonism","NPP","structural","residual_correlation",-0.257141288244156,0.1,TRUE,"flagged"
"hedonism01","hedonism01","hedonism","NPP","structural","residual_correlation",0.222532505247823,0.1,TRUE,"flagged"
"hedonism01","hedonism01","hedonism","HM","structural","residual_correlation",0.422367278432972,0.1,TRUE,"flagged"
"hedonism01","hedonism01","hedonism","SAI","structural","residual_correlation",-0.202877778978126,0.1,TRUE,"flagged"
"hedonism02","hedonism02","hedonism","SAI_narrative","substantive","ambiguous_interpretation",NA,NA,TRUE,"flagged"
"hedonism02","hedonism02","hedonism","NPP","structural","low_R2",0.232134757754795,0.3,TRUE,"deleted"
"hedonism02","hedonism02","hedonism","NPP","structural","residual_correlation",-0.376545729950595,0.1,TRUE,"deleted"
"hedonism02","hedonism02","hedonism","SAI","structural","residual_correlation",0.305776525737742,0.1,TRUE,"deleted"
"hedonism03","hedonism03","hedonism","SAI_narrative","substantive","ambiguous_interpretation",NA,NA,TRUE,"flagged"
"hedonism03","hedonism03","hedonism","SAI","structural","low_R2",0.290396708269324,0.3,TRUE,"deleted"
"hedonism04","hedonism04","hedonism","NPP","structural","residual_correlation",0.304391960539253,0.1,TRUE,"flagged"
"hedonism04","hedonism04","hedonism","HM","structural","residual_correlation",-0.29091383918159,0.1,TRUE,"flagged"
"hedonism04","hedonism04","hedonism","SAI","structural","residual_correlation",0.305776525737742,0.1,TRUE,"flagged"
"hedonism05","hedonism05","hedonism","NPP","structural","residual_correlation",-0.481972568724763,0.1,TRUE,"flagged"
"hedonism05","hedonism05","hedonism","NPP","structural","residual_correlation",0.269298397472492,0.1,TRUE,"flagged"
"hedonism05","hedonism05","hedonism","NPP","structural","residual_correlation",0.222532505247823,0.1,TRUE,"flagged"
"hedonism05","hedonism05","hedonism","NPP","structural","residual_correlation",-0.376545729950595,0.1,TRUE,"flagged"
"hedonism05","hedonism05","hedonism","HM","structural","residual_correlation",0.422367278432972,0.1,TRUE,"flagged"
"hedonism05","hedonism05","hedonism","HM","structural","residual_correlation",-0.29091383918159,0.1,TRUE,"flagged"
"hedonism05","hedonism05","hedonism","SAI","structural","residual_correlation",0.36615707247205,0.1,TRUE,"flagged"
"hedonism05","hedonism05","hedonism","SAI","structural","residual_correlation",-0.192050927738114,0.1,TRUE,"flagged"
"hedonism05","hedonism05","hedonism","SAI","structural","residual_correlation",0.184752655843157,0.1,TRUE,"flagged"
"hedonism06","hedonism06","hedonism","NPP","structural","residual_correlation",0.269298397472492,0.1,TRUE,"flagged"
"hedonism06","hedonism06","hedonism","HM","structural","residual_correlation",-0.210071234594053,0.1,TRUE,"flagged"
"hedonism06","hedonism06","hedonism","SAI","structural","residual_correlation",0.184752655843157,0.1,TRUE,"flagged"
"hedonism07","hedonism07","hedonism","NPP","structural","residual_correlation",0.719470029747947,0.1,TRUE,"flagged"
"hedonism07","hedonism07","hedonism","NPP","structural","residual_correlation",-0.239276498123168,0.1,TRUE,"flagged"
"hedonism07","hedonism07","hedonism","HM","structural","residual_correlation",0.332190767787805,0.1,TRUE,"flagged"
"hedonism07","hedonism07","hedonism","SAI","structural","residual_correlation",0.305547899676189,0.1,TRUE,"flagged"
"hedonism07","hedonism07","hedonism","SAI","structural","residual_correlation",-0.202877778978126,0.1,TRUE,"flagged"
"hedonism08","hedonism08","hedonism","NPP","structural","residual_correlation",-0.239276498123168,0.1,TRUE,"flagged"
"hedonism08","hedonism08","hedonism","SAI","structural","residual_correlation",0.36615707247205,0.1,TRUE,"flagged"
"hedonism09","hedonism09","hedonism","NPP","structural","residual_correlation",0.719470029747947,0.1,TRUE,"deleted"
"hedonism09","hedonism09","hedonism","NPP","structural","residual_correlation",-0.481972568724763,0.1,TRUE,"deleted"
"hedonism09","hedonism09","hedonism","NPP","structural","residual_correlation",0.304391960539253,0.1,TRUE,"deleted"
"hedonism09","hedonism09","hedonism","NPP","structural","residual_correlation",-0.257141288244156,0.1,TRUE,"deleted"
"hedonism09","hedonism09","hedonism","HM","structural","residual_correlation",0.332190767787805,0.1,TRUE,"deleted"
"hedonism09","hedonism09","hedonism","HM","structural","residual_correlation",-0.210071234594053,0.1,TRUE,"deleted"
"hedonism09","hedonism09","hedonism","SAI","structural","residual_correlation",0.305547899676189,0.1,TRUE,"deleted"
"hedonism09","hedonism09","hedonism","SAI","structural","residual_correlation",-0.192050927738114,0.1,TRUE,"deleted"
"utilitarian01","utilitarian01","utilitarian","NPP","structural","residual_correlation",0.189286300490593,0.1,TRUE,"flagged"
"utilitarian01","utilitarian01","utilitarian","HM","structural","residual_correlation",0.318025874498126,0.1,TRUE,"flagged"
"utilitarian01","utilitarian01","utilitarian","SAI","structural","residual_correlation",-0.144978418186451,0.1,TRUE,"flagged"
"utilitarian02","utilitarian02","utilitarian","NPP","structural","residual_correlation",0.189286300490593,0.1,TRUE,"flagged"
"utilitarian02","utilitarian02","utilitarian","HM","structural","residual_correlation",0.181185564088423,0.1,TRUE,"flagged"
"utilitarian02","utilitarian02","utilitarian","SAI","structural","residual_correlation",0.103660488448907,0.1,TRUE,"flagged"
"utilitarian03","utilitarian03","utilitarian","SAI","structural","residual_correlation",-0.144978418186451,0.1,TRUE,"flagged"
"utilitarian04","utilitarian04","utilitarian","HM","structural","residual_correlation",0.144546581751135,0.1,TRUE,"flagged"
"utilitarian05","utilitarian05","utilitarian","NPP","structural","residual_correlation",0.150632237272534,0.1,TRUE,"flagged"
"utilitarian05","utilitarian05","utilitarian","HM","structural","residual_correlation",0.138302823366268,0.1,TRUE,"flagged"
"utilitarian05","utilitarian05","utilitarian","SAI","structural","residual_correlation",0.103660488448907,0.1,TRUE,"flagged"
"utilitarian06","utilitarian06","utilitarian","NPP","structural","residual_correlation",0.150632237272534,0.1,TRUE,"flagged"
"utilitarian06","utilitarian06","utilitarian","HM","structural","residual_correlation",0.138302823366268,0.1,TRUE,"flagged"
"utilitarian08","utilitarian08","utilitarian","HM","structural","residual_correlation",0.318025874498126,0.1,TRUE,"flagged"
"utilitarian08","utilitarian08","utilitarian","HM","structural","residual_correlation",0.181185564088423,0.1,TRUE,"flagged"
"utilitarian09","utilitarian09","utilitarian","HM","structural","residual_correlation",0.144546581751135,0.1,TRUE,"flagged"
"deontology01","deontology01","deontology","HM","structural","low_R2",0.293123193474849,0.3,TRUE,"deleted"
"deontology01","deontology01","deontology","NPP","structural","residual_correlation",0.401636272943067,0.1,TRUE,"deleted"
"deontology01","deontology01","deontology","NPP","structural","residual_correlation",-0.489372373704415,0.1,TRUE,"deleted"
"deontology01","deontology01","deontology","SAI","structural","residual_correlation",0.330422259287067,0.1,TRUE,"deleted"
"deontology02","deontology02","deontology","NPP","structural","residual_correlation",0.253247184008295,0.1,TRUE,"flagged"
"deontology02","deontology02","deontology","SAI","structural","residual_correlation",0.249557168327343,0.1,TRUE,"flagged"
"deontology03","deontology03","deontology","NPP","structural","residual_correlation",0.401636272943067,0.1,TRUE,"flagged"
"deontology03","deontology03","deontology","SAI","structural","residual_correlation",0.330422259287067,0.1,TRUE,"flagged"
"deontology04","deontology04","deontology","NPP","structural","residual_correlation",0.3089360045154,0.1,TRUE,"flagged"
"deontology04","deontology04","deontology","HM","structural","residual_correlation",0.273661449401252,0.1,TRUE,"flagged"
"deontology04","deontology04","deontology","HM","structural","residual_correlation",-0.17252219744943,0.1,TRUE,"flagged"
"deontology04","deontology04","deontology","SAI","structural","residual_correlation",-0.167431413547638,0.1,TRUE,"flagged"
"deontology05","deontology05","deontology","NPP","structural","residual_correlation",-0.489372373704415,0.1,TRUE,"flagged"
"deontology05","deontology05","deontology","NPP","structural","residual_correlation",0.3089360045154,0.1,TRUE,"flagged"
"deontology05","deontology05","deontology","HM","structural","residual_correlation",0.273661449401252,0.1,TRUE,"flagged"
"deontology05","deontology05","deontology","HM","structural","residual_correlation",-0.237335262441925,0.1,TRUE,"flagged"
"deontology07",NA,"deontology","SAI_narrative","substantive","comprehension_confusion",NA,NA,TRUE,"deleted"
"deontology08",NA,"deontology","SAI_narrative","substantive","comprehension_confusion",NA,NA,TRUE,"deleted"
"deontology09","deontology06","deontology","NPP","structural","residual_correlation",0.340336544512557,0.1,TRUE,"flagged"
