"";"ID";"item";"questionItem";"value";"category_probe";"category_probe_again";"questionComprehension";"comp_probe";"comp_probe_again"
"1";"1";"hedonism01";"is personally unsatisfactory...is personally satisfactory";"4";"I selected 4 on this scale because I am torn between its ethical appropriateness. I believe the benefits will do more good than harm, but I can understand if others are uncomfortable with that step affecting many. Overall, I would be neutral about the decision on either part.";NA;"When in your opinion is the described technology <b>personally satisfactory</b>?";"In my opinion, the described technology is personally satisfactory when I feel as though saying yes to this movement is bettering the environment. By having sulfur inputs in the atmosphere to deflect sun rays, it is meant to cool the environment a bit more which is very beneficial without making citizens do much.";NA
"2";"1";"hedonism03";"requires me to make sacrifices in order to use it...does not require me to make sacrifices in order to use it";"7";"I selected 7 for this scale because if it is implemented, it seems as though it will be a large scale governmental procedure that has little to nothing to do with me. I would simply vote for it and then see its work flourish without putting much work into it. ";NA;"When in your opinion requires the described technology to <b>make sacrifices in order to use it</b>?";"In my opinion, the described technology does not make sacrifices in order to use it at all really, but if there were to be any sacrifices it would be to accept the viewing of SAI in the sky every once in a while for many years. ";NA
"3";"1";"contractualist02";"is unfair...is fair";"6";"I selected 6 because it has the potential to be very fair. So long as a majority agrees with its introduction, including other countries, I feel it has the potential to be really helpful for our climate situation. ";NA;"When in your opinion is the described technology <b>fair</b>?";"In my opinion I described the technology as fair because it is seemingly for the better of the people, what's left is just making sure everyone is on the same page for its implementation. ";NA
"4";"1";"deontology02";"harms the autonomy of users...promotes the autonomy of users";"4";"I selected 4 in this scale because I believe it isn't directly affecting anyone's autonomy. It is a procedure that would happen alongside living; people's daily routines will most likely stay the same. ";NA;"What does <b>autonomy of users</b> mean for you in a technological context?";"Autonomy of users in a technological context means whether or not integrating a form of technology will affect my already established routine (whether in a harmful way or beneficial way). For instance if I use an advanced wheelchair when I can't walk, that is promoting autonomy because I can move more now. In this case, because it is such a procedure that is happening out of reach from average citizens, the autonomy is more or less the same as before its implementation.";NA
"5";"1";"deontology03";"obliges a certain immoral behavior...obliges a certain moral behavior";"6";"I chose 6 on this scale because I can agree it is easier to say yes ""morally"" than to say no to this procedure. If it is for the better of society and the environment, it is much more for the greater good to say yes. ";NA;"What do you consider to be a <b>moral behavior</b> in a technological context?";"Moral behavior in a technological context would be about whether or not the technology is benefitting the greater good. It would be encouraging a product that is helpful, and feeling selfish if you deny its process because of your own reasons. ";NA
"6";"1";"contractualist06";"violates my ideas of fairness...does not violate my ideas of fairness";"6";"I selected 6 in this scale because I do not feel personally violated in terms of fairness because of this technology. I feel it just brought out my ideas of fairness without altering them. ";NA;"What do you consider to be a <b>idea of fairness</b> in a technological context?";"My idea of fairness in a technological context is if its implementation falls under the implementation of technology we have willingly welcomed previously. So far, it seems like companies have made a good claim to produce anything they want anyway (harmful or beneficial) as long as it serves a purpose for the average person. That's why implementing this would just fall under that category again.";NA
"7";"1";"hedonism08";"harms my freedom...promotes my freedom";"4";"I selected 4 in this scale because it is similar to autonomy scale. The implementation of SAI does nothing to my daily routine, or the average person's daily routine. If anything, I am able to be more free because there is something doing the work at a larger scale for the environment that I don't have to do. ";NA;"How can the described technology <b>promotes your freedom</b>?";"The describe technology can promote my freedom in the way that I encouraged the implementation of a technology that can do something better and greater for the environment, removing that responsibility from me in different ways. ";NA
"8";"2";"deontology04";"is not morally right...is morally right";"5";"It is morally right as an emergency measure, but there are ethical concerns about unknown consequences of using the aerosol. ";NA;"When in your opinion is the described technology <b>morally right</b>?";"If it is an effective measure, it is morally right to use as an emergency tool to prevent heating of the planet.";NA
"9";"2";"contractualist01";"is unjust...is just";"5";"Because it is needed to prevent further damage to the planet, despite unknown risks surrounding its use.";NA;"When in your opinion is the described technology <b>just</b>?";"When it becomes necessary to employ as an emergency climate measure.";NA
"10";"2";"hedonism07";"harms my health...promotes my health";"4";"Because according to the science, it is protecting my health from the effects of a heating planet, however the unknown variables are the long terms effects of the sulfur.";NA;"How can the described technology <b>promotes your health</b>?";"By reflecting back heat to outer space and preventing the warming of the planet.";NA
"11";"2";"utilitarian01";"provides the least utility for society...provides the greatest utility for society";"2";"Because it does nothing about the source of the planet's pollution, and does nothing to stop ocean acidification. ";NA;"Which type of <b>utilities</b> were you thinking of when you answered the question?";"I was thinking of utilities that would mitigate the effects of the heating planet described in the text.";NA
"12";"2";"deontology02";"harms the autonomy of users...promotes the autonomy of users";"4";"People will still have their autonomy, however there will always be a nagging question of whether this aerosol somehow threatens their autonomy, until more research is done to prove or disprove this. ";NA;"What does <b>autonomy of users</b> mean for you in a technological context?";"People being free to exist and live without being exposed to potentially hazardous substances. ";NA
"13";"2";"deontology01";"does not imply a moral obligation to act in a certain way...implies a moral obligation to act in a certain way";"7";"Because it shows a moral obligation to cool the heating planet by using an unproven technology, which would be a balancing act between the good of the entire planet versus the good of the individual.";NA;"What do you consider to be a <b>moral obligation</b>?";"To behave in ways that reflect the common good for everybody, the greater health of the planet versus the individual. ";NA
"14";"2";"contractualist06";"violates my ideas of fairness...does not violate my ideas of fairness";"4";"Because I can see how it would be fair for everybody, but not fair for the individual, so I'm straddling between thinking it's fair and unfair. ";NA;"What do you consider to be a <b>idea of fairness</b> in a technological context?";"Technology that promotes the wellbeing of the everybody while also considering the individual's rights and freedoms.";NA
"15";"3";"virtue01";"is developed by someone who has wrong motivations...is developed by someone who has good motivations";"6";"They have good intentions and are trying to help the earth by stopping climate change by creating new technologies ";NA;"For the development of the technology  <b>which people or groups of people</b> did you have in mind?";"I have in mind scientists or engineers ";"Scientists and engineers because they are the most educated about climate change and would know best on what to do to solve it"
"16";"3";"contractualist03";"does not respect an unwritten contract...respects an unwritten contract";"6";"They respect an unwritten contract because they wouldn’t be stuck in doing something";NA;"What do you consider to be an <b>unwritten contract</b> in a technological context?";"A idea or proposition not trapped into doing";"Unwritten contract would be a propoition or idea being done that isnt mandatory or having to do done without choice"
"17";"3";"utilitarian01";"provides the least utility for society...provides the greatest utility for society";"6";"It is a very great help to use for climate change";"It can aim to reflect the heat from the sun back into outer space to prevent warming of land and oceans";"Which type of <b>utilities</b> were you thinking of when you answered the question?";"I was thinking of the stratopsheric aerosol injection";NA
